Squad,90s,npxGC
Arsenal,114.0,0.784
Aston Villa,114.0,1.4390000000000003
Barnsley,46.0,3.3
Birmingham City,138.0,2.5800000000000005
Blackburn,138.0,2.5360000000000005
Blackpool,92.0,2.89
Bournemouth,122.0,1.4660000000000002
Brentford,114.0,1.368
Brighton,114.0,1.2660000000000002
Bristol City,138.0,2.3060000000000005
Burnley,122.0,1.649
Cardiff City,138.0,2.7600000000000002
Chelsea,114.0,1.3420000000000003
Coventry City,138.0,2.3080000000000003
Crystal Palace,114.0,1.2520000000000002
Derby County,46.0,2.7
Everton,114.0,1.365
Fulham,122.0,1.526
Huddersfield,138.0,2.5540000000000003
Hull City,138.0,2.2700000000000005
Ipswich Town,46.0,1.92
Leeds United,122.0,1.6300000000000001
Leicester City,122.0,1.7260000000000002
Liverpool,114.0,1.167
Luton Town,130.0,1.9470000000000003
Manchester City,114.0,0.8280000000000002
Manchester Utd,114.0,1.551
Middlesbrough,138.0,2.1780000000000004
Millwall,138.0,2.1780000000000004
Newcastle Utd,114.0,1.3840000000000001
Norwich City,130.0,2.4330000000000003
Nott'ham Forest,122.0,1.4440000000000002
P'borough Utd,46.0,3.54
Plymouth Argyle,46.0,3.06
Preston,138.0,2.4600000000000004
QPR,138.0,2.2840000000000003
Reading,92.0,2.628
Rotherham Utd,92.0,3.114
Sheffield Utd,130.0,1.8830000000000002
Sheffield Weds,46.0,2.3
Southampton,122.0,1.8900000000000003
Stoke City,138.0,2.2680000000000002
Sunderland,92.0,2.088
Swansea City,138.0,2.6340000000000003
Tottenham,114.0,1.421
Watford,130.0,2.1510000000000002
West Brom,138.0,1.9380000000000002
West Ham,114.0,1.5440000000000003
Wigan Athletic,46.0,2.32
Wolves,114.0,1.562
