team_id,Squad,90s,npxGC,90s_new,npxGC_new,weighted_npxGC
1,Arsenal,114.0,0.784,3.0,1.15,0.81
2,Aston Villa,114.0,1.4390000000000005,3.0,0.94,1.44
3,Bournemouth,122.0,1.4660000000000002,3.0,1.58,1.49
4,Brentford,114.0,1.368,3.0,1.73,1.4
5,Brighton,114.0,1.2660000000000002,3.0,1.34,1.29
6,Chelsea,114.0,1.3420000000000003,3.0,1.09,1.35
7,Crystal Palace,114.0,1.2520000000000002,3.0,1.77,1.29
8,Everton,114.0,1.365,3.0,2.07,1.41
9,Fulham,122.0,1.526,3.0,1.16,1.53
10,Ipswich Town,46.0,1.92,3.0,2.02,1.99
11,Leicester City,122.0,1.7260000000000002,3.0,1.44,1.74
12,Liverpool,114.0,1.167,3.0,0.79,1.17
13,Manchester City,114.0,0.8280000000000002,3.0,0.66,0.83
14,Manchester Utd,114.0,1.551,3.0,1.44,1.57
15,Newcastle Utd,114.0,1.384,3.0,1.75,1.42
16,Nott'ham Forest,122.0,1.4440000000000002,3.0,0.7,1.43
17,Southampton,122.0,1.8900000000000003,3.0,1.75,1.91
18,Tottenham,114.0,1.421,3.0,1.27,1.43
19,West Ham,114.0,1.5440000000000005,3.0,2.11,1.59
20,Wolves,114.0,1.562,3.0,1.3,1.57
