,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
vs Arsenal,0.74,0.53,1.26,0.68,1.21,0.73,0.52,1.26,0.68,1.2
vs Aston Villa,1.5,1.18,2.68,1.47,2.66,1.58,1.29,2.87,1.53,2.82
vs Bournemouth,1.74,1.16,2.89,1.58,2.74,1.53,1.05,2.58,1.38,2.43
vs Brentford,1.71,1.32,3.03,1.66,2.97,1.47,1.15,2.62,1.43,2.58
vs Brighton,1.58,1.11,2.68,1.42,2.53,1.46,1.03,2.49,1.33,2.37
vs Burnley,1.97,1.42,3.39,1.82,3.24,1.85,1.37,3.22,1.71,3.08
vs Chelsea,1.58,1.13,2.71,1.5,2.63,1.53,1.1,2.63,1.42,2.53
vs Crystal Palace,1.47,1.21,2.68,1.39,2.61,1.37,1.06,2.43,1.31,2.37
vs Everton,1.26,0.79,2.05,1.05,1.84,1.45,0.98,2.43,1.29,2.28
vs Fulham,1.5,0.95,2.45,1.29,2.24,1.66,1.15,2.81,1.5,2.65
vs Liverpool,1.03,0.71,1.74,1.0,1.71,1.2,0.89,2.1,1.18,2.08
vs Luton Town,2.13,1.5,3.63,2.03,3.53,2.05,1.49,3.55,1.97,3.47
vs Manchester City,0.87,0.61,1.47,0.79,1.39,0.94,0.69,1.63,0.87,1.57
vs Manchester Utd,1.5,1.03,2.53,1.32,2.34,1.81,1.34,3.16,1.67,3.01
vs Newcastle Utd,1.61,1.24,2.84,1.5,2.74,1.62,1.22,2.83,1.51,2.73
vs Nott'ham Forest,1.71,1.26,2.97,1.61,2.87,1.4,0.98,2.38,1.32,2.29
vs Sheffield Utd,2.55,1.97,4.53,2.42,4.39,2.02,1.5,3.52,1.87,3.38
vs Tottenham,1.53,1.03,2.55,1.34,2.37,1.67,1.11,2.77,1.54,2.64
vs West Ham,1.84,1.34,3.18,1.63,2.97,1.87,1.35,3.22,1.66,3.01
vs Wolves,1.68,1.13,2.82,1.47,2.61,1.78,1.26,3.05,1.62,2.88
